Titel;Englisch;Definition;Quelle;Gesamter Inhalt;Url
Aufklärung;(adequate information);Juristisch: ;Quelle: ;"Juristisch:

Eine hinreichende Aufklärung beinhaltet Hinweise auf die Rechte, z.B. über das Recht, nicht einzuwilligen, ohne Nachteile befürchten zu müssen: das Widerrufs- und Rückzugsrecht; das Recht, Fragen zu stellen und das Recht auf Nichtwissen. Ebenso beinhaltet es die Gründe für die Auswahl der Personen; die Verfahren, an denen die Personen im Rahmen des Forschungsprojektes teilnimmt; den Umstand, dass verschiedene Vergleichsgruppen gebildet werden; die Regelung der Haftpflicht und des Schadenersatzes; die Festsetzung einer allfälligen Teilnahme-Entschädigung sowie die Regelung der Nachsorge.Die betroffene Person muss in verständlicher Form mündlich und schriftlich aufgeklärt werden über:a) Art, Zweck, Dauer und Verlauf des Forschungsprojektes;b) die voraussehbaren Risiken und Belastungen;c) den erwarteten Nutzen des Forschungsprojektes, insbesondere für sie oder für andere Personen;d) die Massnahmen zum Schutz der erhobenen Personendaten;e) ihre Rechte.Bevor die betroffene Person über die Einwilligung entscheidet, muss ihr eine angemessene Bedenkfrist eingeräumt werden.





Quelle: 
Botschaft zum Bundesgesetz über die Forschung am Menschen. Online verfügbar unter http://www.admin.ch/opc/de/federal-gazette/2009/8045.pdf, zuletzt geprüft am 30/01/2014.Art. 16 HFG";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=18
Aufsichtsbehörde;(regulatory authority);;;;http://kofam.ch/de/categoriser/glossar-detail/?glossarID=19
Auftragsforschungsinstitut ;(contract research organization);;;;http://kofam.ch/de/categoriser/glossar-detail/?glossarID=62
Ausschlusskriterien;(exclusion criteria);Eigenschaften, die einen potenziellen Kandidaten von einer Studienteilnahme ausschliessen. ;Quelle: Clinical Trials Glossary der German Language Division of the American Translator’s Association. Online verfügbar unter http://www.ata-divisions.org/GLD/docs/48_konferenz/Glossary_clinical_trials_EN-GE.pdf, zuletzt geprüft am 18/04/2013.;"Eigenschaften, die einen potenziellen Kandidaten von einer Studienteilnahme ausschliessen. 
Quelle: Clinical Trials Glossary der German Language Division of the American Translator’s Association. Online verfügbar unter http://www.ata-divisions.org/GLD/docs/48_konferenz/Glossary_clinical_trials_EN-GE.pdf, zuletzt geprüft am 18/04/2013.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=20
Autonomie;(autonomy);Juristisch: … freiwillige und informierte Einwilligung als Grundvoraussetzung für die Rechtmässigkeit einer medizinischen Handlung im Allgemeinen und eines Forschungsprojekts im Besonderen.;Quelle: Botschaft zum Bundesgesetz über die Forschung am Menschen. Online verfügbar unter http://www.admin.ch/opc/de/federal-gazette/2009/8045.pdf, zuletzt geprüft am 30/01/2014.;"Juristisch:
… freiwillige und informierte Einwilligung als Grundvoraussetzung für die Rechtmässigkeit einer medizinischen Handlung im Allgemeinen und eines Forschungsprojekts im Besonderen.
Quelle: Botschaft zum Bundesgesetz über die Forschung am Menschen. Online verfügbar unter http://www.admin.ch/opc/de/federal-gazette/2009/8045.pdf, zuletzt geprüft am 30/01/2014.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=22
Behandlungsgruppe;(investigational group);Gruppe von Personen (Patienten, Probanden), die mit dem Prüfpräpparat behandelt werden. ;Quelle: Clinical Trials Glossary der German Language Division of the American Translator’s Association. Online verfügbar unter http://www.ata-divisions.org/GLD/docs/48_konferenz/Glossary_clinical_trials_EN-GE.pdf, zuletzt geprüft am 18/04/2013.;"Gruppe von Personen (Patienten, Probanden), die mit dem Prüfpräpparat behandelt werden. 
Quelle: Clinical Trials Glossary der German Language Division of the American Translator’s Association. Online verfügbar unter http://www.ata-divisions.org/GLD/docs/48_konferenz/Glossary_clinical_trials_EN-GE.pdf, zuletzt geprüft am 18/04/2013.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=23
Beobachtungsstudie;(observation study);Eine Studie, in der Untersuchungen, aber keine Interventionen an einem Kollektiv durchgeführt werden. Dazu gezählt werden z.B. Kohortenstudien und Fall-Kontroll-Studien. ;Quelle: SAMW (2009). Forschung mit Menschen – Ein Leitfaden für die Praxis. Schwabe AG, Basel/Muttenz.;"Eine Studie, in der Untersuchungen, aber keine Interventionen an einem Kollektiv durchgeführt werden. Dazu gezählt werden z.B. Kohortenstudien und Fall-Kontroll-Studien. 
Quelle: SAMW (2009). Forschung mit Menschen – Ein Leitfaden für die Praxis. Schwabe AG, Basel/Muttenz.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=25
Bildgebende Verfahren;(imaging techniques);Juristisch: Bildgebende Verfahren sind: Röntgen, Computertomographie, magnetische Kernresonanz, Szintigrafie.;Quelle: Art. 4 KLV. ;"Juristisch:
Bildgebende Verfahren sind: Röntgen, Computertomographie, magnetische Kernresonanz, Szintigrafie.
Quelle: Art. 4 KLV.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=27
Biobank;(biobank);Systematisch angelegte Sammlung von Proben menschlicher Körpersubstanzen (sowie von DNA als Träger genetischer Informationen) und damit verknüpfbare Informationen zu Forschungszwecken.;Quelle: SAMW (2009). Forschung mit Menschen – Ein Leitfaden für die Praxis. Schwabe AG, Basel/Muttenz.;"Systematisch angelegte Sammlung von Proben menschlicher Körpersubstanzen (sowie von DNA als Träger genetischer Informationen) und damit verknüpfbare Informationen zu Forschungszwecken.
Quelle: SAMW (2009). Forschung mit Menschen – Ein Leitfaden für die Praxis. Schwabe AG, Basel/Muttenz.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=28
Biologisches Material;(biological material);Juristisch: Biologisches Material (Proben) menschlichen Ursprungs umfasst insbesondere Organe, Gewebe, Zellen, Körperflüssigkeiten und daraus extrahierte Substanzen wie Desoxyribonukleinsäure (DNS, engl. DNA) oder Ribonukleinsäure (RNS, engl. RNA). Unter diesen Begriff fällt auch das von Embryonen und Föten stammende biologische Material.Körpersubstanzen, die von lebenden Personen stammen.;Quelle: Eidgenössisches Departement des Inneren (EDI) (2006): Bundesgesetz über die Forschung am Menschen (Humanforschungsgesetz, HFG). Erläuternder Bericht zum Vorentwurf. Hg. v. EDI. Bundeshaus. Bern.Art. 3 HFG;"Juristisch:
Biologisches Material (Proben) menschlichen Ursprungs umfasst insbesondere Organe, Gewebe, Zellen, Körperflüssigkeiten und daraus extrahierte Substanzen wie Desoxyribonukleinsäure (DNS, engl. DNA) oder Ribonukleinsäure (RNS, engl. RNA). Unter diesen Begriff fällt auch das von Embryonen und Föten stammende biologische Material.Körpersubstanzen, die von lebenden Personen stammen.
Quelle: Eidgenössisches Departement des Inneren (EDI) (2006): Bundesgesetz über die Forschung am Menschen (Humanforschungsgesetz, HFG). Erläuternder Bericht zum Vorentwurf. Hg. v. EDI. Bundeshaus. Bern.Art. 3 HFG";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=29
Biomedizin-Konvention;(convention on human rights and biomedicine);Juristisch: Das Übereinkommen des Europarates vom 4. April 1997 zum Schutz der Menschenrechte und der Menschenwürde im Hinblick auf die Anwendung von Biologie und Medizin (Biomedizin-Konvention) wurde von der Schweiz am 7. Mai 1999 unterzeichnet und mit Botschaft des Bundesrates vom 12. September 2001 der Bundesversammlung zur Genehmigung unterbreitet. Die Biomedizin-Konvention ist das erste Instrument auf internationaler Ebene, das für die Anwendung der Medizin und die biomedizinische Forschung verbindliche Regelungen vorsieht. Sie enthält unter anderem auch Regelungen für Forschungsvorhaben mit Personen.;Quelle: Botschaft zum Verfassungsartikel über die Forschung am Menschen vom 12. September 2007. Online verfügbar unter http://www.admin.ch/opc/de/federal-gazette/2007/6713.pdf, zuletzt geprüft am 28/01/2014.;"Juristisch:
Das Übereinkommen des Europarates vom 4. April 1997 zum Schutz der Menschenrechte und der Menschenwürde im Hinblick auf die Anwendung von Biologie und Medizin (Biomedizin-Konvention) wurde von der Schweiz am 7. Mai 1999 unterzeichnet und mit Botschaft des Bundesrates vom 12. September 2001 der Bundesversammlung zur Genehmigung unterbreitet. Die Biomedizin-Konvention ist das erste Instrument auf internationaler Ebene, das für die Anwendung der Medizin und die biomedizinische Forschung verbindliche Regelungen vorsieht. Sie enthält unter anderem auch Regelungen für Forschungsvorhaben mit Personen.
Quelle: Botschaft zum Verfassungsartikel über die Forschung am Menschen vom 12. September 2007. Online verfügbar unter http://www.admin.ch/opc/de/federal-gazette/2007/6713.pdf, zuletzt geprüft am 28/01/2014.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=31
Blind-Studie;(blind study);Klinische Studie, bei welcher der Teilnehmer nicht weiss, welcher randomisierten Studiengruppe er angehört.;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"Klinische Studie, bei welcher der Teilnehmer nicht weiss, welcher randomisierten Studiengruppe er angehört.
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=32
Bundesgesetz ;(Federal Act);Gesetz, das von der Bundesversammlung aufgrund einer Ermächtigung oder eines Auftrags in der Bundesverfassung oder eines Vorstosses aus dem Volk, vom Parlament oder vom Bundesrat erlassen wird, dem fakultativen Referendum untersteht und in der Regel unbefristet gilt, ausser wenn es dringlich erklärt und im entsprechenden Verfahren verabschiedet wird. ;Quelle: Glossar des schweizerischen Bundeskanzlei. Online verfügbar unter http://www.bk.admin.ch/glossar/index.html?action=character&character=all&descr=true&lang=de, zuletzt geprüft am 28/01/2013.;"Gesetz, das von der Bundesversammlung aufgrund einer Ermächtigung oder eines Auftrags in der Bundesverfassung oder eines Vorstosses aus dem Volk, vom Parlament oder vom Bundesrat erlassen wird, dem fakultativen Referendum untersteht und in der Regel unbefristet gilt, ausser wenn es dringlich erklärt und im entsprechenden Verfahren verabschiedet wird. 
Quelle: Glossar des schweizerischen Bundeskanzlei. Online verfügbar unter http://www.bk.admin.ch/glossar/index.html?action=character&character=all&descr=true&lang=de, zuletzt geprüft am 28/01/2013.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=34
compassionate use;Anwendung eines möglicherweise wirksamen jedoch in der Schweiz nicht zugelassenen Arzneimittels bei einer Patientin in einer lebensbedrohlichen Situation oder mit einem schwerwiegenden, nicht oder nicht mehr anderweitig therapierbaren Leiden. Der compassionate use bezieht sich auf den Sinn und Zweck der Anwendung und ist rechtlich immer auch ein unlicensed-use.Bei Patientinnen, die an einer schweren, potentiell lebensbedrohenden oder invalidisierenden Krankheit leiden, ist die Einfuhr von und die Behandlung mit einem in der Schweiz nicht zugelassenen Arzneimittel im Sinne einer letzten Therapiemöglichkeit (last hope) möglich, wenn in der Schweiz kein vergleichbares Arzneimittel zur Verfügung steht und von der Anwendung ein grosser therapeutischer Nutzen zu erwarten ist. ;Anwendung eines möglicherweise wirksamen jedoch in der Schweiz nicht zugelassenen Arzneimittels bei einer Patientin in einer lebensbedrohlichen Situation oder mit einem schwerwiegenden, nicht oder nicht mehr anderweitig therapierbaren Leiden. Der compassionate use bezieht sich auf den Sinn und Zweck der Anwendung und ist rechtlich immer auch ein unlicensed-use.Bei Patientinnen, die an einer schweren, potentiell lebensbedrohenden oder invalidisierenden Krankheit leiden, ist die Einfuhr von und die Behandlung mit einem in der Schweiz nicht zugelassenen Arzneimittel im Sinne einer letzten Therapiemöglichkeit (last hope) möglich, wenn in der Schweiz kein vergleichbares Arzneimittel zur Verfügung steht und von der Anwendung ein grosser therapeutischer Nutzen zu erwarten ist. ;Quelle: SAMW (2013): Abgrenzung von Standardtherapie und experimenteller Therapie Medizin-ethische Richtlinien und Empfehlungen der SAMW Entwurf zur Vernehmlassung, Fassung vom 29. November 2013.;Quelle: SAMW (2013): Abgrenzung von Standardtherapie und experimenteller Therapie Medizin-ethische Richtlinien und Empfehlungen der SAMW Entwurf zur Vernehmlassung, Fassung vom 29. November 2013.;http://kofam.ch/de/categoriser/glossar-detail/?glossarID=55
compliance;Bereitschaft eines Patienten zur selbstverantwortlichen Mitarbeit bei therapeutischen Handlungen (z.B. zuverlässige Medikamenteneinnahme).;Bereitschaft eines Patienten zur selbstverantwortlichen Mitarbeit bei therapeutischen Handlungen (z.B. zuverlässige Medikamenteneinnahme).;Quelle: Glossar des Bundesamts für Gesundheit. Online verfügbar unter http://www.bag.admin.ch/glossar/index.html?lang=de, zuletzt geprüft am 13/04/2013.;Quelle: Glossar des Bundesamts für Gesundheit. Online verfügbar unter http://www.bag.admin.ch/glossar/index.html?lang=de, zuletzt geprüft am 13/04/2013.;http://kofam.ch/de/categoriser/glossar-detail/?glossarID=58
Cross-over-Studie;(crossover study);Kontrollierte, meist doppelblinde Studie, in der die Patienten das Studienpräparat und Placebo oder ein anderes Präparat nacheinander über einen bestimmten Zeitraum erhalten.;Quelle: Clinical Trials Glossary der German Language Division of the American Translator’s Association. Online verfügbar unter http://www.ata-divisions.org/GLD/docs/48_konferenz/Glossary_clinical_trials_EN-GE.pdf, zuletzt geprüft am 18/04/2013.;"Kontrollierte, meist doppelblinde Studie, in der die Patienten das Studienpräparat und Placebo oder ein anderes Präparat nacheinander über einen bestimmten Zeitraum erhalten.
Quelle: Clinical Trials Glossary der German Language Division of the American Translator’s Association. Online verfügbar unter http://www.ata-divisions.org/GLD/docs/48_konferenz/Glossary_clinical_trials_EN-GE.pdf, zuletzt geprüft am 18/04/2013.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=67
Datenbekanntgabe;(data release);"Juristisch: Sofern kein überwiegendes Privatinteresse entgegensteht, dürfen Daten bekanntgegeben werden an:a. die für den Vollzug dieses Gesetzes zuständigen Stellen von Bund und Kantonen sowie Organisationen und Personen des öffentlichen oder des privaten Rechts, wenn die Daten für die Erfüllung der ihnen nach diesem Gesetz übertragenen Aufgaben erforderlich sind;b. Strafuntersuchungsbehörden, wenn es die Anzeige oder die Abwendung eines Verbrechens oder einer nach diesem Gesetz strafbaren Handlung erfordert.Sofern kein überwiegendes Privatinteresse entgegensteht, dürfen Daten im Einzelfall und auf schriftliches Gesuch hin bekanntgegeben werden an:a. Zivilgerichte, wenn die Daten für die Beurteilung eines Streitfalles erforderlich sind;b. Strafgerichte und Strafuntersuchungsbehörden, wenn die Daten für die Abklärung eines Verbrechens oder eines Vergehens erforderlich sind.Daten, die von allgemeinem Interesse sind und sich auf die Anwendung dieses Gesetzes beziehen, dürfen veröffentlicht werden. Die betroffenen Personen dürfen dabei nicht bestimmbar sein.In den übrigen Fällen dürfen Daten an Dritte wie folgt bekanntgegeben werden:a. nicht personenbezogene Daten, sofern die Bekanntgabe einem überwiegenden Interesse entspricht;b. Personendaten, sofern die betroffene Person im Einzelfall schriftlich eingewilligt hat.Es dürfen nur die Daten bekanntgegeben werden, die für den in Frage stehenden Zweck erforderlich sind. Der Bundesrat regelt die Modalitäten der Bekanntgabe und die Information der betroffenen Personen.";Quelle: Art. 59 HFG;"Juristisch:
Sofern kein überwiegendes Privatinteresse entgegensteht, dürfen Daten bekanntgegeben werden an:a. die für den Vollzug dieses Gesetzes zuständigen Stellen von Bund und Kantonen sowie Organisationen und Personen des öffentlichen oder des privaten Rechts, wenn die Daten für die Erfüllung der ihnen nach diesem Gesetz übertragenen Aufgaben erforderlich sind;b. Strafuntersuchungsbehörden, wenn es die Anzeige oder die Abwendung eines Verbrechens oder einer nach diesem Gesetz strafbaren Handlung erfordert.Sofern kein überwiegendes Privatinteresse entgegensteht, dürfen Daten im Einzelfall und auf schriftliches Gesuch hin bekanntgegeben werden an:a. Zivilgerichte, wenn die Daten für die Beurteilung eines Streitfalles erforderlich sind;b. Strafgerichte und Strafuntersuchungsbehörden, wenn die Daten für die Abklärung eines Verbrechens oder eines Vergehens erforderlich sind.Daten, die von allgemeinem Interesse sind und sich auf die Anwendung dieses Gesetzes beziehen, dürfen veröffentlicht werden. Die betroffenen Personen dürfen dabei nicht bestimmbar sein.In den übrigen Fällen dürfen Daten an Dritte wie folgt bekanntgegeben werden:a. nicht personenbezogene Daten, sofern die Bekanntgabe einem überwiegenden Interesse entspricht;b. Personendaten, sofern die betroffene Person im Einzelfall schriftlich eingewilligt hat.Es dürfen nur die Daten bekanntgegeben werden, die für den in Frage stehenden Zweck erforderlich sind. Der Bundesrat regelt die Modalitäten der Bekanntgabe und die Information der betroffenen Personen.








Quelle: Art. 59 HFG";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=77
